s,k,E,N,phi,r,V,beta,delta_cmd,wheel_torque_cmd,rear_wr,e_min,e_max
14.683036,0.571884,-6.087377,1.809222,2.243954,2.003826,3.503900,0.000000,0.147608,0.000000,3.503900,-0.980000,0.180000
14.782921,0.596674,-6.163633,1.744717,2.302262,2.044094,3.425816,0.000000,0.153908,0.000000,3.425816,-1.060000,0.220000
14.882806,0.634387,-6.235902,1.675775,2.363620,2.126321,3.351772,0.000000,0.163469,0.000000,3.351772,-1.240000,0.220000
14.982690,0.683307,-6.303651,1.602390,2.429412,2.249480,3.292047,0.000000,0.175825,0.000000,3.292047,-1.340000,0.200000
15.082575,0.722230,-6.366243,1.524564,2.499746,2.345956,3.248213,0.000000,0.185618,0.000000,3.248213,-1.220000,0.240000
15.182459,0.743823,-6.423069,1.442435,2.573255,2.416097,3.248213,0.000000,0.191036,0.000000,3.248213,-1.080000,0.220000
15.282344,0.744859,-6.473655,1.356319,2.647679,2.400795,3.223154,0.000000,0.191295,0.000000,3.223154,-1.020000,0.240000
15.382229,0.758526,-6.517683,1.266670,2.722697,2.418467,3.188376,0.000000,0.194718,0.000000,3.188376,-0.960000,0.260000
15.482113,0.776559,-6.554792,1.173942,2.799441,2.451874,3.157358,0.000000,0.199227,0.000000,3.157358,-0.960000,0.240000
15.581998,0.787248,-6.584606,1.078616,2.877683,2.485623,3.157358,0.000000,0.201896,0.000000,3.157358,-0.900000,0.240000
15.681882,0.786677,-6.606843,0.981243,2.956448,2.483821,3.157358,0.000000,0.201753,0.000000,3.157358,-0.880000,0.240000
15.781767,0.776968,-6.621370,0.882425,3.034635,2.455972,3.160969,0.000000,0.199329,0.000000,3.160969,-0.840000,0.220000
15.881652,0.763834,-6.628192,0.782777,3.111615,2.425045,3.174831,0.000000,0.196046,0.000000,3.174831,-0.860000,0.220000
15.981536,0.752292,-6.627395,0.682901,-3.095863,2.402125,3.193076,0.000000,0.193157,0.000000,3.193076,-0.860000,0.200000
16.081421,0.736531,-6.619109,0.583367,-3.021438,2.366383,3.212878,0.000000,0.189207,0.000000,3.212878,-0.880000,0.180000
16.181305,0.705322,-6.603542,0.484710,-2.949255,2.282367,3.235920,0.000000,0.181369,0.000000,3.235920,-0.920000,0.180000
16.281190,0.658993,-6.581078,0.387390,-2.880991,2.152986,3.267086,0.000000,0.169690,0.000000,3.267086,-0.940000,0.200000
16.381075,0.610121,-6.552261,0.291758,-2.817633,2.017983,3.307511,0.000000,0.157321,0.000000,3.307511,-0.980000,0.240000
16.480959,0.568522,-6.517664,0.198060,-2.758824,1.907294,3.354827,0.000000,0.146753,0.000000,3.354827,-1.040000,0.260000
